Order_ID,Customer_ID,Customer_Name,Gender,Age,City,State,Product_Category,Product_Name,Quantity,Price,Discount,Sales,Profit,Payment_Method,Order_Date,Delivery_Date,Rating,Returned
OD-1001,C-5328,Joseph Garcia,Male,19,Dallas,TX,Fashion,Jeans,2,66.77,0.25,100.16,27.26,Cash on Delivery,2023-02-14,2023-02-21,1.0,Yes
OD-1002,C-5048,  Anthony Thomas  ,Male,32,Charlotte,NC,Books,Fiction Novel,5,12.58,0.25,47.17,12.28,Net Banking,2023-04-23,2023-05-01,3.0,Yes
OD-1003,C-5389,Christopher Martinez,Male,62,Indianapolis,IN,Home Decor,Area Rug,2,51.5,0.3,72.1,10.89,Credit Card,2023-07-14,2023-07-16,3.5,No
OD-1004,C-5310,Steven Martin,Male,69,Los Angeles,CA,Sports,Running Shoes,5,$26.24,0.15,111.52,8.21,UPI,2023-11-18,2023-11-24,2.5,No
OD-1005,C-5024,Mark Moore,Male,67,San Jose,CA,Electronics,Laptop,1,475.27,0.15,403.98,97.24,UPI,2023-03-25,2023-03-31,3.5,No
OD-1006,C-5344,  Paul Lee  ,Male,62,Chicago,IL,Books,History Book,2,18.61,0.05,35.36,3.5,Net Banking,2023-05-19,2023-05-23,3.5,Yes
OD-1007,C-5118,Robert Williams,Male,69,Austin,TX,Beauty,Perfume,1,21.33,0.2,17.06,5.34,UPI,2023-04-19,2023-04-27,4.0,No
OD-1008,C-5074,Steven Martin,Male,26,San Diego,CA,Sports,Backpack,5,32.04,0.2,128.16,22.88,Cash on Delivery,2023-07-24,2023-07-30,2.5,No
OD-1009,C-5261,Lisa Anderson,Female,23,Los Angeles,CA,Electronics,Laptop,6,356.39,0.25,1603.76,283.3,Credit Card,2023-07-17,2023-07-24,4.5,No
OD-1010,C-5129,Ashley Jackson,Female,18,Houston,TX,Sports,Backpack,3,53.28,0.1,143.86,12.01,Net Banking,2023-03-22,2023-03-30,1.0,No
OD-1011,C-5498,Betty Taylor,Female,66,Philadelphia,PA,Books,Fiction Novel,6,14.37,0.25,64.66,13.08,Debit Card,2023-03-20,2023-03-26,2.0,No
OD-1012,C-5489,Margaret Thomas,Female,18,El Paso,TX,Home Decor,Throw Pillow,1,44.05,0.1,39.64,12.43,UPI,2023-05-03,2023-05-04,2.5,No
OD-1013,C-5485,David Miller,Male,23,Fort Worth,TX,Electronics,Bluetooth Speaker,2,339.33,0.15,576.86,192.7,Debit Card,2023-05-16,2023-05-23,2.5,No
OD-1014,C-5387,Matthew Taylor,Male,63,San Jose,CA,Beauty,Shampoo,6,26.2,0.2,125.76,23.32,Debit Card,2023-04-26,2023-04-28,3.5,Yes
OD-1015,C-5302,Ashley Jackson,Female,32,Denver,CO,Fashion,T-Shirt,1,65.22,0.0,65.22,7.74,Credit Card,2023-06-19,2023-06-21,5.0,No
OD-1016,C-5143,Lisa Anderson,Female,31,Seattle,WA,Fashion,Socks,5,58.12,0.05,276.07,78.79,Net Banking,2023-04-08,2023-04-10,-2.0,No
OD-1017,C-5182,Jessica Garcia,Female,44,Columbus,OH,Sports,Yoga Mat,6,48.45,0.25,218.03,17.34,Net Banking,2023-06-23,2023-06-25,2.5,No
OD-1018,C-5098,Sandra Moore,Female,46,Phoenix,AZ,Beauty,Moisturizer,3,28.88,0.3,60.65,19.83,Net Banking,2023-10-09,2023-10-11,1.0,No
OD-1019,C-5429,James Smith,Male,23,San Diego,CA,Fashion,Sneakers,4,52.99,0.3,148.37,25.27,Credit Card,2023-03-26,2023-04-02,1.0,No
OD-1020,C-5136,Karen Wilson,Female,36,Indianapolis,IN,Sports,Tennis Racket,5,48.8,0.15,207.4,20.0,UPI,abcd-ef-gh,2023-04-23,5.0,Yes
OD-1021,C-5383,Mary Smith,Female,21,Los Angeles,CA,Books,Cookbook,5,25.55,0.2,102.2,9.94,Cash on Delivery,2023-02-11,2023-02-14,1.5,No
OD-1022,C-5035,Donald Jackson,Male,43,Houston,TX,Books,Biography,5,19.7,0.2,78.8,5.88,Cash on Delivery,2023-10-17,2023-10-23,3.0,No
OD-1023,C-5343,Mary Smith,Female,33,Dallas,TX,Beauty,Moisturizer,6,34.37,0.15,175.29,25.39,Credit Card,2023-01-05,2023-01-13,1.5,No
OD-1024,C-5276,Anthony Thomas,female ,50,LOS ANGELES,TX,ELECTRONICS,Jacket,1,74.48,0.1,67.03,9.08,credit card,2023-10-06,2023-10-11,5.0,NO
